,name1,text1,year,field,additional
13,Esther Duflo,"Abhijit Banerjee, Esther Duflo and Michael Kremer “for their experimental approach to alleviating global poverty”",2019,economics,"['a>,\xa0<a href=""https:', 'a>\xa0and\xa0<a href=""https:', 'a>\xa0“for their experimental approach to alleviating global poverty”<']"
14,Michael Kremer,"Abhijit Banerjee, Esther Duflo and Michael Kremer “for their experimental approach to alleviating global poverty”",2019,economics,"['a>,\xa0<a href=""https:', 'a>\xa0and\xa0<a href=""https:', 'a>\xa0“for their experimental approach to alleviating global poverty”<']"
16,Arthur Ashkin,Arthur Ashkin “for the optical tweezers and their application to biological systems”,2018,physics,"['ashkin', 'a> “for the optical tweezers and their application to biological systems”<']"
17,Gérard Mourou,"Gérard Mourou and Donna Strickland “for their method of generating high-intensity, ultra-short optical pulses”",2018,physics,"['a> and <a href=""https:', 'a>\xa0“for their method of generating high-intensity, ultra-short optical pulses”<']"
18,Donna Strickland,"Gérard Mourou and Donna Strickland “for their method of generating high-intensity, ultra-short optical pulses”",2018,physics,"['a> and <a href=""https:', 'a>\xa0“for their method of generating high-intensity, ultra-short optical pulses”<']"
19,Frances H. Arnold,Frances H. Arnold “for the directed evolution of enzymes” and George P. Smith and Sir Gregory P. Winter “for the phage display of peptides and antibodies”,2018,chemistry,"['arnold', 'a>\xa0“for the directed evolution of enzymes” and <a href=""https:', 'a>\xa0and <a href=""https:', 'a>\xa0“for the phage display of peptides and antibodies”<']"
20,George P. Smith,Frances H. Arnold “for the directed evolution of enzymes” and George P. Smith and Sir Gregory P. Winter “for the phage display of peptides and antibodies”,2018,chemistry,"['arnold', 'a>\xa0“for the directed evolution of enzymes” and <a href=""https:', 'a>\xa0and <a href=""https:', 'a>\xa0“for the phage display of peptides and antibodies”<']"
21,Sir Gregory P. Winter,Frances H. Arnold “for the directed evolution of enzymes” and George P. Smith and Sir Gregory P. Winter “for the phage display of peptides and antibodies”,2018,chemistry,"['arnold', 'a>\xa0“for the directed evolution of enzymes” and <a href=""https:', 'a>\xa0and <a href=""https:', 'a>\xa0“for the phage display of peptides and antibodies”<']"
22,James P. Allison,"James P. Allison and Tasuku Honjo
“for their discovery of cancer therapy by inhibition of negative immune regulation”",2018,medicine,"['allison', 'a> and <a href=""https:', 'a><br']"
23,Tasuku Honjo,"James P. Allison and Tasuku Honjo
“for their discovery of cancer therapy by inhibition of negative immune regulation”",2018,medicine,"['allison', 'a> and <a href=""https:', 'a><br']"
29,William D. Nordhaus,William D. Nordhaus “for integrating climate change into long-run macroeconomic analysis” and Paul M. Romer “for integrating technological innovations into long-run macroeconomic analysis”,2018,economics,"['a>\xa0“for integrating climate change into long-run macroeconomic analysis” and <a href=""https:', 'a> “for integrating technological innovations into long-run macroeconomic analysis”<']"
30,Paul M. Romer,William D. Nordhaus “for integrating climate change into long-run macroeconomic analysis” and Paul M. Romer “for integrating technological innovations into long-run macroeconomic analysis”,2018,economics,"['a>\xa0“for integrating climate change into long-run macroeconomic analysis” and <a href=""https:', 'a> “for integrating technological innovations into long-run macroeconomic analysis”<']"
31,Rainer Weiss,"Rainer Weiss, Barry C. Barish and Kip S. Thorne
“for decisive contributions to the LIGO detector and the observation of gravitational waves”",2017,physics,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
32,Barry C. Barish,"Rainer Weiss, Barry C. Barish and Kip S. Thorne
“for decisive contributions to the LIGO detector and the observation of gravitational waves”",2017,physics,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
33,Kip S. Thorne,"Rainer Weiss, Barry C. Barish and Kip S. Thorne
“for decisive contributions to the LIGO detector and the observation of gravitational waves”",2017,physics,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
35,Jacques Dubochet,"Jacques Dubochet, Joachim Frank and Richard Henderson
“for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution”",2017,chemistry,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
36,Joachim Frank,"Jacques Dubochet, Joachim Frank and Richard Henderson
“for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution”",2017,chemistry,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
37,Richard Henderson,"Jacques Dubochet, Joachim Frank and Richard Henderson
“for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution”",2017,chemistry,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
